Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1467.969971,1471.770020,1442.069946,1447.160034,1447.160034,3452650000
2008-01-03,1447.550049,1456.800049,1443.729980,1447.160034,1447.160034,3429500000
2008-01-04,1444.010010,1444.010010,1411.189941,1411.630005,1411.630005,4166000000
2008-01-07,1414.069946,1423.869995,1403.449951,1416.180054,1416.180054,4221260000
2008-01-08,1415.709961,1430.280029,1388.300049,1390.189941,1390.189941,4705390000
2008-01-09,1390.250000,1409.189941,1378.699951,1409.130005,1409.130005,5351030000
2008-01-10,1406.780029,1429.089966,1395.310059,1420.329956,1420.329956,5170490000
2008-01-11,1419.910034,1419.910034,1394.829956,1401.020020,1401.020020,4495840000
2008-01-14,1402.910034,1417.890015,1402.910034,1416.250000,1416.250000,3682090000
2008-01-15,1411.880005,1411.880005,1380.599976,1380.949951,1380.949951,4601640000
2008-01-16,1377.410034,1391.989990,1364.270020,1373.199951,1373.199951,5440620000
2008-01-17,1374.790039,1377.719971,1330.670044,1333.250000,1333.250000,5303130000
2008-01-18,1333.900024,1350.280029,1312.510010,1325.189941,1325.189941,6004840000
2008-01-22,1312.939941,1322.089966,1274.290039,1310.500000,1310.500000,6544690000
2008-01-23,1310.410034,1339.089966,1270.050049,1338.599976,1338.599976,3241680000
2008-01-24,1340.130005,1355.150024,1334.310059,1352.069946,1352.069946,5735300000
2008-01-25,1357.319946,1368.560059,1327.500000,1330.609985,1330.609985,4882250000
2008-01-28,1330.699951,1353.969971,1322.260010,1353.959961,1353.959961,4100930000
2008-01-29,1355.939941,1364.930054,1350.189941,1362.300049,1362.300049,4232960000
2008-01-30,1362.219971,1385.859985,1352.949951,1355.810059,1355.810059,4742760000
2008-01-31,1351.979980,1385.619995,1334.079956,1378.550049,1378.550049,4970290000
2008-02-01,1378.599976,1396.020020,1375.930054,1395.420044,1395.420044,4650770000
2008-02-04,1395.380005,1395.380005,1379.689941,1380.819946,1380.819946,3495780000
2008-02-05,1380.280029,1380.280029,1336.640015,1336.640015,1336.640015,4315740000
2008-02-06,1339.479980,1351.959961,1324.339966,1326.449951,1326.449951,4008120000
2008-02-07,1324.010010,1347.160034,1316.750000,1336.910034,1336.910034,4589160000
2008-02-08,1336.880005,1341.219971,1321.060059,1331.290039,1331.290039,3768490000
2008-02-11,1331.920044,1341.400024,1320.319946,1339.130005,1339.130005,3593140000
2008-02-12,1340.550049,1362.099976,1339.359985,1348.859985,1348.859985,4044640000
2008-02-13,1353.119995,1369.229980,1350.780029,1367.209961,1367.209961,3856420000
2008-02-14,1367.329956,1368.160034,1347.310059,1348.859985,1348.859985,3644760000
2008-02-15,1347.520020,1350.000000,1338.130005,1349.989990,1349.989990,3583300000
2008-02-19,1355.859985,1367.280029,1345.050049,1348.780029,1348.780029,3613550000
2008-02-20,1348.390015,1363.709961,1336.550049,1360.030029,1360.030029,3870520000
2008-02-21,1362.209961,1367.939941,1339.339966,1342.530029,1342.530029,3696660000
2008-02-22,1344.219971,1354.300049,1327.040039,1353.109985,1353.109985,3572660000
2008-02-25,1352.750000,1374.359985,1346.030029,1371.800049,1371.800049,3866350000
2008-02-26,1371.760010,1387.339966,1363.290039,1381.290039,1381.290039,4096060000
2008-02-27,1378.949951,1388.339966,1372.000000,1380.020020,1380.020020,3904700000
2008-02-28,1378.160034,1378.160034,1363.160034,1367.680054,1367.680054,3938580000
2008-02-29,1364.069946,1364.069946,1325.420044,1330.630005,1330.630005,4426730000
2008-03-03,1330.449951,1335.130005,1320.040039,1331.339966,1331.339966,4117570000
2008-03-04,1329.579956,1331.030029,1307.390015,1326.750000,1326.750000,4757180000
2008-03-05,1327.689941,1344.189941,1320.219971,1333.699951,1333.699951,4277710000
2008-03-06,1332.199951,1332.199951,1303.420044,1304.339966,1304.339966,4323460000
2008-03-07,1301.530029,1313.239990,1282.430054,1293.369995,1293.369995,4565410000
2008-03-10,1293.160034,1295.010010,1272.660034,1273.369995,1273.369995,4261240000
2008-03-11,1274.400024,1320.650024,1274.400024,1320.650024,1320.650024,5109080000
2008-03-12,1321.130005,1333.260010,1307.859985,1308.770020,1308.770020,4414280000
2008-03-13,1305.260010,1321.680054,1282.109985,1315.479980,1315.479980,5073360000
2008-03-14,1316.050049,1321.469971,1274.859985,1288.140015,1288.140015,5153780000
2008-03-17,1283.209961,1287.500000,1256.979980,1276.599976,1276.599976,5683010000
